Pergunta,Resposta
O que é o AWS DMS?,Database Migration Service – migra bancos de dados para AWS com mínimo downtime.
O que é o Direct Connect?,Conexão física dedicada entre datacenter e AWS (baixa latência).
O que é o CloudFront?,CDN que acelera distribuição de conteúdo estático e dinâmico usando Edge Locations.
O que é o Amazon CloudSearch?,Serviço gerenciado de busca para sites e aplicações.
O que é o AWS CloudFormation?,Provisiona recursos automaticamente a partir de template (IaC).
O que é o AWS Elastic Beanstalk?,Implanta aplicações web automaticamente sem gerenciar infraestrutura.
O que é o IAM?,Identity and Access Management – controla quem acessa o quê.
Qual a diferença entre Role e Policy no IAM?,Role = serviço acessa serviço. Policy = grupo de usuários acessa serviço.
Boas práticas de segurança IAM?,"Não usar Root, ativar MFA, criar usuários individuais, privilégios mínimos."
O que é o Amazon Inspector?,Avalia aplicações em busca de vulnerabilidades.
O que é o Amazon GuardDuty?,Detecção inteligente de ameaças monitorando atividades na conta.
O que é o AWS WAF?,Firewall de aplicação web que filtra tráfego malicioso (camada 7).
O que é o AWS KMS?,Key Management Service – cria e gerencia chaves de criptografia.
O que é o AWS Organizations?,Centraliza gerenciamento de múltiplas contas e consolida faturamento.
O que é o CloudWatch?,"Monitora recursos e métricas (CPU, alarmes, logs)."
O que é o AWS CloudTrail?,Registra chamadas de API (quem fez o quê e quando).
O que é o AWS Trusted Advisor?,"Orientações para reduzir custos, melhorar segurança e performance."
Quais são os planos de suporte da AWS?,"Basic, Developer, Business, Enterprise."
O que é um Suporte Case?,Chamado aberto ao time de suporte da AWS.
Quais os tipos de Case no Support Center?,"Service limit increase, Account and billing support, Technical support."
Como a AWS cobra computação?,"Por hora ou segundo (EC2 Linux), Savings Plans, Reserved, Spot, Host Dedicado."
O que é o AWS CAF?,Cloud Adoption Framework – orientações para migração organizada em 6 perspectivas.
O que é o AWS Migration Hub?,Centraliza e acompanha migrações de workloads para AWS.
O que é o AWS Application Discovery Service?,Coleta dados sobre ambientes on-premises para planejar migração.
O que é o AWS Wavelength?,Infraestrutura AWS em bordas de redes 5G para baixíssima latência.
O que é o AWS Batch?,Processamento de jobs em lote com escalonamento automático.
O que é o AWS Global Accelerator?,Melhora performance global usando edge locations para TCP/UDP.
O que é o AWS Secrets Manager?,Armazena e rotaciona automaticamente segredos como senhas e chaves de API.
O que é o AWS Systems Manager Parameter Store?,Armazena configurações e segredos com organização hierárquica.
O que é o AWS Config?,Avalia e registra conformidade de recursos contra regras definidas.
O que é o Amazon Macie?,Descobre e classifica dados sensíveis no S3 usando machine learning.
O que é o AWS Firewall Manager?,"Gerencia centralmente regras de WAF, Shield e Security Groups em múltiplas contas."
O que é o AWS Security Hub?,Centraliza e prioriza alertas de segurança de múltiplos serviços AWS.
O que é o AWS Certificate Manager (ACM)?,Provisiona e renova automaticamente certificados SSL/TLS gratuitos.
O que é o AWS Artifact?,Portal de autoatendimento com relatórios de conformidade e contratos.
O que é o Consolidated Billing?,Faturamento consolidado no Organizations com desconto agregado por volume.
O que são Service Control Policies (SCPs)?,Restringem o que contas filhas podem fazer no Organizations.
